Charlson comorbidity index and Read codes in CPRD,,,
Charlson_index,Medcode,Readcode,Readterm
6,65117,A789900,HIV disease resulting in lymphoid interstitial pneumonitis
6,50076,A789400,HIV disease resulting in multiple infections
6,105324,A789800,HIV disease resulting in multiple malignant neoplasms
6,37006,A789000,HIV disease resulting in mycobacterial infection
6,67575,A788W00,HIV disease resulting in unspecified malignant neoplasm
6,8281,A789A00,HIV disease resulting in wasting syndrome
6,71450,A788X00,HIV disease resulting/unspcf infectious+parasitic disease
6,69766,A788200,HIV infection with persistent generalised lymphadenopathy
1,29353,N240700,Hand rheumatism
1,5627,H330011,Hay fever with asthma
1,15248,H330.13,Hay fever with asthma
1,16408,G32..11,Healed myocardial infarction
1,1204,G30..14,Heart attack
1,2062,G58..00,Heart failure
1,4024,G58z.00,Heart failure NOS
1,30779,662W.00,Heart failure annual review
1,66306,SP11111,Heart failure as a complication of care
1,32945,8CL3.00,Heart failure care plan discussed with patient
1,9913,1O1..00,Heart failure confirmed
2,63653,B671.11,Heilmeyer - Schoner disease
2,1749,F22..00,Hemiplegia
2,8492,F22z.00,Hemiplegia NOS
3,23511,J622.00,Hepatic coma
1,899,J633.00,Hepatitis unspecified
2,31210,B150100,Hepatoblastoma of liver
2,22187,B150300,Hepatocellular carcinoma
3,10636,J624.00,Hepatorenal syndrome
2,3514,F141.00,Hereditary spastic paraplegia
2,65463,F420800,High risk non proliferative diabetic retinopathy
2,30477,F420700,High risk proliferative diabetic retinopathy
2,108715,B66..11,Histiocytic leukaemia
2,4870,B625.11,"Histiocytosis X (acute, progressive)"
2,2462,B61..00,Hodgkin's disease
2,42461,B61zz00,Hodgkin's disease NOS
2,53397,B61z.00,Hodgkin's disease NOS
2,107804,B61z300,Hodgkin's disease NOS of intra-abdominal lymph nodes
2,59755,B61z200,Hodgkin's disease NOS of intrathoracic lymph nodes
2,99012,B61z500,Hodgkin's disease NOS of lymph nodes inguinal region and leg
2,91900,B61z400,Hodgkin's disease NOS of lymph nodes of axilla and arm
2,59778,B61z100,"Hodgkin's disease NOS of lymph nodes of head, face and neck"
2,97746,B61z800,Hodgkin's disease NOS of lymph nodes of multiple sites
2,94279,B61z700,Hodgkin's disease NOS of spleen
2,61662,B61z000,"Hodgkin's disease NOS, unspecified site"
2,67703,B616.00,"Hodgkin's disease, lymphocytic depletion"
2,101530,B616z00,"Hodgkin's disease, lymphocytic depletion NOS"
2,101715,B616700,"Hodgkin's disease, lymphocytic depletion of spleen"
2,38939,B613.00,"Hodgkin's disease, lymphocytic-histiocytic predominance"
2,49605,B615.00,"Hodgkin's disease, mixed cellularity"
2,94005,B615z00,"Hodgkin's disease, mixed cellularity NOS"
2,97863,B615000,"Hodgkin's disease, mixed cellularity of unspecified site"
2,29178,B614.00,"Hodgkin's disease, nodular sclerosis"
2,63054,B614z00,"Hodgkin's disease, nodular sclerosis NOS"
2,105472,B614700,"Hodgkin's disease, nodular sclerosis of spleen"
2,57225,B614000,"Hodgkin's disease, nodular sclerosis of unspecified site"
2,44196,B611.00,Hodgkin's granuloma
2,98909,B611100,"Hodgkin's granuloma of lymph nodes of head, face and neck"
2,63625,B616400,Hodgkin's lymphocytic depletion lymph nodes axilla and arm
2,110563,B616500,Hodgkin's lymphocytic depletion lymph nodes inguinal and leg
2,107032,B616800,Hodgkin's lymphocytic depletion lymph nodes multiple sites
2,95049,B616000,Hodgkin's lymphocytic depletion of unspecified site
2,58684,B615200,Hodgkin's mixed cellularity of intrathoracic lymph nodes
2,94407,B615100,"Hodgkin's mixed cellularity of lymph nodes head, face, neck"
2,108886,B615500,Hodgkin's mixed cellularity of lymph nodes inguinal and leg
2,55303,B614100,"Hodgkin's nodular sclerosis of head, face and neck"
2,61149,B614300,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
2,67506,B614200,Hodgkin's nodular sclerosis of intrathoracic lymph nodes
2,65483,B614400,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
2,19140,B614800,Hodgkin's nodular sclerosis of lymph nodes of multiple sites
2,65489,B610.00,Hodgkin's paragranuloma
2,98840,B610300,Hodgkin's paragranuloma of intra-abdominal lymph nodes
2,100423,B610100,"Hodgkin's paragranuloma of lymph nodes of head, face, neck"
2,64036,B612.00,Hodgkin's sarcoma
2,68039,B612400,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
2,93951,B613500,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg"
2,73532,B613300,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node"
2,95338,B613600,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes"
2,92245,B613200,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes"
2,68330,B613100,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck"
2,104743,B613800,"Hodgkin's, lymphocytic-histiocytic pred of multiple sites"
2,29876,B613z00,"Hodgkin's, lymphocytic-histiocytic predominance NOS"
2,106911,B613700,"Hodgkin's, lymphocytic-histiocytic predominance of spleen"
2,71142,B613000,"Hodgkin's, lymphocytic-histiocytic predominance unspec site"
6,44303,A789.00,Human immunodef virus resulting in other disease
6,70869,A788300,Human immunodeficiency virus with constitutional disease
6,53636,A788400,Human immunodeficiency virus with neurological disease
6,62891,A788y00,Human immunodeficiency virus with other clinical findings
6,101836,A788600,Human immunodeficiency virus with secondary cancers
6,70528,A788500,Human immunodeficiency virus with secondary infection
2,7978,B4A0000,Hypernephroma
1,36633,C109K00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
1,11833,H35z100,Hypersensitivity pneumonitis NOS
1,21837,G232.00,Hypertensive heart&renal dis wth (congestive) heart failure
2,56939,K08y000,Hypokalaemic nephropathy
1,69124,C107300,IDDM with peripheral circulatory disorder
1,18505,C108.11,IDDM-Insulin dependent diabetes mellitus
2,70716,B62zz11,Immunoproliferative neoplasm
2,43450,B63z.00,Immunoproliferative neoplasm or myeloma NOS
2,6842,K060.11,Impaired renal function
2,25980,K08z.00,Impaired renal function disorder NOS
1,28109,G714100,Inflammatory abdominal aortic aneurysm
1,64446,C108G00,Insulin dependent diab mell with peripheral angiopathy
1,1038,C100011,Insulin dependent diabetes mellitus
